subject,category
selamat pembayaran tagihan pbb anda berhasil,2
selamat pembayaran kesehatan anda berhasil,3
selamat pembayaran tagihan air anda berhasil,4
selamat pembayaran kesehatan anda berhasil,3
selamat pembayaran tagihan kartu kredit anda berhasil,5
selamat pembayaran tagihan air anda berhasil,4
pembayaran untuk order  telah kami terima,6
selamat pembayaran kesehatan anda berhasil,3
selamat pembayaran tagihan kartu kredit anda berhasil,5
selamat pembayaran tagihan air anda berhasil,4
selamat pembayaran kesehatan anda berhasil,3
selamat pembayaran tagihan air anda berhasil,4
selamat pembayaran tagihan pascabayar anda berhasil,0
konfirmasi pembayaran atas pesanan ,6
pembayaran tiket penerbangan berhasil invoice id ,6
konfirmasi pembayaran atas pesanan ,6
konfirmasi pembayaran atas pesanan ,6
pembayaran tiket penerbangan berhasil invoice id ,6
pembayaran untuk order  telah kami terima,6
pembayaran tiket penerbangan berhasil invoice id ,6
pembayaran untuk order  telah kami terima,6
konfirmasi pembayaran atas pesanan ,6
konfirmasi pembayaran atas pesanan ,6
konfirmasi pembayaran atas pesanan ,6
konfirmasi pembayaran atas pesanan ,6
konfirmasi pembayaran atas pesanan ,6
airy pembayaran anda berhasil  no pesanan ,6
konfirmasi pembayaran atas pesanan ,6
pembayaran tokocash anda pada tanggal telah kami batalkan,6
pembayaran klikbca anda pada tanggal  telah kami batalkan,6
pembayaran kartu kredit sukses ,5
konfirmasi pembayaran atas pesanan ,6
konfirmasi pembayaran atas pesanan ,6
pembayaran pesanan  di bhinnekacom,6
konfirmasi pembayaran atas pesanan ,6
konfirmasi pembayaran atas pesanan ,6

